Time_Step,Velocity,Reference,State_x,Output_y,Input_u
0,2.0,0.0,0.0,0.0,0.7853981633974483
1,2.463525491562421,0.07492970727274235,0.08,0.08,0.6377839074482102
2,2.8816778784387096,0.14943813247359924,0.15302923421940415,0.15302923421940415,0.5549671866403758
3,3.213525491562421,0.22310636213174548,0.22449029128068881,0.22449029128068881,0.5071068802041927
4,3.4265847744427305,0.2955202066613396,0.29590337780779286,0.29590337780779286,0.47479981075195016
5,3.5,0.36627252908604757,0.36635656562817376,0.36635656562817376,0.4556863061586128
6,3.4265847744427305,0.4349655341112303,0.4349688323936768,0.4349688323936768,0.4502035274689889
7,3.213525491562421,0.5012130046737978,0.5012124066169129,0.5012124066169129,0.45864944396335494
8,2.88167787843871,0.5646424733950355,0.5646818252323981,0.5646818252323981,0.4822377272885517
9,2.463525491562421,0.6248973167276999,0.6250193646024252,0.6250193646024252,0.5235402979943293
10,2.0,0.6816387600233341,0.6819043658332097,0.6819043658332097,0.5864340888305071
11,1.5364745084375797,0.7345477822465786,0.7350566377601849,0.7350566377601849,0.6748598414790367
12,1.1183221215612904,0.7833269096274835,0.7842358073505686,0.7842358073505686,0.7853981633974483
13,0.786474508437579,0.8277018881672576,0.8289686922130203,0.8289686922130203,0.7853981633974483
14,0.5734152255572698,0.867423225594017,0.8604276725505234,0.8604276725505234,0.7853981633974483
15,0.5,0.9022675940990952,0.8833642815728142,0.8833642815728142,0.7853981633974483
16,0.5734152255572695,0.9320390859672264,0.9033642815728142,0.9033642815728142,0.7853880748499229
17,0.7864745084375786,0.956570315040986,0.9263004278056335,0.9263004278056335,0.7853981633974483
18,1.11832212156129,0.9757233578266591,0.9577594081431366,0.9577594081431366,0.6332278958085421
19,1.5364745084375784,0.9893905289502953,0.9905964895197167,0.9905964895197167,0.11139196336200453
20,1.9999999999999996,0.9974949866040544,0.9974709828467214,0.9974709828467214,0.030413418244940895
21,2.4635254915624207,0.9999911645788031,0.9999048067621724,0.9999048067621724,-0.03141598527411445
22,2.8816778784387083,0.9968650284539189,0.9968080246682355,0.9968080246682355,-0.07546636875477093
23,3.2135254915624207,0.9881341545039076,0.9880926826404095,0.9880926826404095,-0.11062483842578813
24,3.4265847744427305,0.9738476308781951,0.9738145610076855,0.9738145610076855,-0.14315202035818497
25,3.5,0.9540857816096938,0.9540585247499105,0.9540585247499105,-0.1775520524999942
26,3.4265847744427305,0.9289597150038692,0.9289366946070059,0.9289366946070059,-0.21790098338787786
27,3.2135254915624216,0.898610698947429,0.8985886019976312,0.8985886019976312,-0.2688086770815939
28,2.88167787843871,0.8632093666488737,0.8631786379124307,0.8631786379124307,-0.3362612649112683
29,2.4635254915624216,0.8229547572765259,0.822888648585568,0.822888648585568,-0.42828818255028306
30,2.0000000000000004,0.7780731968879212,0.7778996694728386,0.7778996694728386,-0.5545261424898545
31,1.5364745084375793,0.7288170259423801,0.7283516618006451,0.7283516618006451,-0.7853981633974483
32,1.1183221215612908,0.6754631805511506,0.666892681463142,0.666892681463142,-0.7853981633974483
33,0.7864745084375793,0.6183116354418493,0.6221597966006903,0.6221597966006903,-0.7853981633974483
34,0.57341522555727,0.5576837173914166,0.5907008162631872,0.5907008162631872,-0.7853981633974483
35,0.5,0.4939202986100892,0.5677642072408964,0.5677642072408964,-0.7853981633974483
36,0.5734152255572693,0.4273798802338298,0.5477642072408964,0.5477642072408964,-0.7853981633974483
37,0.7864745084375784,0.35843657670052975,0.5248275982186056,0.5248275982186056,-0.7853981633974483
38,1.1183221215612897,0.2874780123425444,0.4933686178811025,0.4933686178811025,-0.7853981633974483
39,1.5364745084375782,0.21490314202168667,0.4486357330186509,0.4486357330186509,-0.7853981633974483
40,1.9999999999999993,0.1411200080598672,0.38717675268114776,0.38717675268114776,-0.7853981633974483
41,2.463525491562418,0.06654344607672126,0.3071767526811478,0.3071767526811478,-0.7853981633974483
42,2.881677878438709,-0.008407247367149063,0.20863573301865107,0.20863573301865107,-0.7853981633974483
43,3.2135254915624207,-0.08331067220796906,0.0933686178811027,0.0933686178811027,-0.7853981633974483
44,3.4265847744427296,-0.15774569414324865,-0.03517240178139411,-0.03517240178139411,-0.7853981633974483
45,3.5,-0.23129381240202182,-0.17223579275910328,-0.17223579275910328,-0.753402554555416
46,3.4265847744427305,-0.30354151270842933,-0.3035519050679717,-0.3035519050679717,-0.4752596707582631
47,3.21352549156242,-0.37408259220939866,-0.37408479520346133,-0.37408479520346133,-0.4895472664120297
48,2.8816778784387105,-0.44252044329485285,-0.4425723180520098,-0.4425723180520098,-0.5180984594886787
49,2.4635254915624243,-0.5084702834699698,-0.5082791447478046,-0.5082791447478046,0.7853981633974483
