Time_Step,Velocity,Reference,State_x,Output_y,Input_u
0,2.0,0.0,0.0,0.0,0.75262941548
1,2.463525491562421,0.07492970727274235,0.07492159544693053,0.07492159544693053,0.19786071723113666
2,2.8816778784387096,0.14943813247359924,0.09467747438410305,0.09467747438410305,0.7562842598035581
3,3.213525491562421,0.22310636213174548,0.20342092422951233,0.20342092422951233,0.4788339556520672
4,3.4265847744427305,0.2955202066613396,0.27015037990157503,0.27015037990157503,0.7853981633974482
5,3.5,0.36627252908604757,0.40721377087928423,0.40721377087928423,0.785398163397448
6,3.4265847744427305,0.4349655341112303,0.5472137708792841,0.5472137708792841,0.5740194773092129
7,3.213525491562421,0.5012130046737978,0.6358463708302159,0.6358463708302159,0.2598759740187678
8,2.88167787843871,0.5646424733950355,0.670023980987911,0.670023980987911,0.26841301048348254
9,2.463525491562421,0.6248973167276999,0.7017282401331701,0.7017282401331701,0.26633702282814115
10,2.0,0.6816387600233341,0.7286120600931354,0.7286120600931354,0.33920245179133907
11,1.5364745084375797,0.7345477822465786,0.7568392429490498,0.7568392429490498,0.4219410150266871
12,1.1183221215612904,0.7833269096274835,0.7844283436180765,0.7844283436180765,0.46897037413091625
13,0.786474508437579,0.8277018881672576,0.8070932113912654,0.8070932113912654,0.4847357430271301
14,0.5734152255572698,0.867423225594017,0.823660928128668,0.823660928128668,0.5059511075601075
15,0.5,0.9022675940990952,0.8363690705765311,0.8363690705765311,0.527256470184199
16,0.5734152255572695,0.9320390859672264,0.8480138213343594,0.8480138213343594,0.5430307425733653
17,0.7864745084375786,0.956570315040986,0.8618573692917494,0.8618573692917494,0.5411337374014107
18,1.11832212156129,0.9757233578266591,0.8807633286742157,0.8807633286742157,0.5104135332593532
19,1.5364745084375784,0.9893905289502953,0.9058093497161379,0.9058093497161379,0.4433748739648522
20,1.9999999999999996,0.9974949866040544,0.9349968319614251,0.9349968319614251,0.33400895994680646
21,2.4635254915624207,0.9999911645788031,0.9627576603763777,0.9627576603763777,0.18691109506077444
22,2.8816778784387083,0.9968650284539189,0.98139359760284,0.98139359760284,0.02464017278485121
23,3.2135254915624207,0.9881341545039076,0.9842343741740894,0.9842343741740894,-0.11826979457131125
24,3.4265847744427305,0.9738476308781951,0.968960572341677,0.968960572341677,-0.21746746778878373
25,3.5,0.9540857816096938,0.9386748059091128,0.9386748059091128,-0.2708297319850941
26,3.4265847744427305,0.9289597150038692,0.899803578182599,0.899803578182599,-0.2925433310007994
27,3.2135254915624216,0.898610698947429,0.8585221803211837,0.8585221803211837,-0.30348427516788296
28,2.88167787843871,0.8632093666488737,0.8182685232075714,0.8182685232075714,-0.32274270877023237
29,2.4635254915624216,0.8229547572765259,0.7797190396680342,0.7797190396680342,-0.3612475711469598
30,2.0000000000000004,0.7780731968879212,0.7424874983227541,0.7424874983227541,-0.42025213314741816
31,1.5364745084375793,0.7288170259423801,0.7067374986699555,0.7067374986699555,-0.49514088602494705
32,1.1183221215612908,0.6754631805511506,0.6735490442034808,0.6735490442034808,-0.5804898843084166
33,0.7864745084375793,0.6183116354418493,0.6442101389591973,0.6442101389591973,-0.6721244244796876
34,0.57341522555727,0.5576837173914166,0.6191776663039714,0.6191776663039714,-0.7658112509954605
35,0.5,0.4939202986100892,0.597122421495306,0.597122421495306,-0.7853981633974481
36,0.5734152255572693,0.4273798802338298,0.577122421495306,0.577122421495306,-0.7853981633974481
37,0.7864745084375784,0.35843657670052975,0.5541858124730152,0.5541858124730152,-0.7853981633974483
38,1.1183221215612897,0.2874780123425444,0.5227268321355121,0.5227268321355121,-0.7853981633974483
39,1.5364745084375782,0.21490314202168667,0.4779939472730605,0.4779939472730605,-0.7853981633974481
40,1.9999999999999993,0.1411200080598672,0.4165349669355574,0.4165349669355574,-0.7853981633974478
41,2.463525491562418,0.06654344607672126,0.3365349669355575,0.3365349669355575,-0.7853981633974483
42,2.881677878438709,-0.008407247367149063,0.23799394727306078,0.23799394727306078,-0.7853981633974483
43,3.2135254915624207,-0.08331067220796906,0.12272683213551241,0.12272683213551241,-0.7853981633974483
44,3.4265847744427296,-0.15774569414324865,-0.005814187526984399,-0.005814187526984399,-0.7853981633974475
45,3.5,-0.23129381240202182,-0.14287757850469338,-0.14287757850469338,-0.7853981633974483
46,3.4265847744427305,-0.30354151270842933,-0.2828775785046933,-0.2828775785046933,-0.7853981633974481
47,3.21352549156242,-0.37408259220939866,-0.41994096948240245,-0.41994096948240245,-0.7853981633974483
48,2.8816778784387105,-0.44252044329485285,-0.5484819891448992,-0.5484819891448992,-0.6875314635139154
49,2.4635254915624243,-0.5084702834699698,-0.6431387079931021,-0.6431387079931021,0.7853981633974476
